round;currentMeasure;elapsed
13;-6.19;1195
13;-7.66;2382
13;-7.87;3568
13;-7.96;4754
13;-7.95;5942
13;-7.97;7129
13;-7.92;8316
13;-7.95;9502
13;-7.96;10687
13;-7.97;11874
13;-7.97;13060
13;-7.98;14247
13;-7.98;15434
13;-7.96;16621
13;-7.95;17806
13;-7.96;18995
13;-7.88;20225
13;-7.96;21412
13;-7.96;22598
13;-7.97;23784
13;-7.98;24970
13;-7.99;26157
13;-7.96;27343
13;-7.95;28530
13;-7.96;29715
13;-7.95;30909
13;-7.96;32096
13;-7.91;33326
13;-7.94;34512
13;-7.95;35699
13;-7.96;36884
13;-7.95;38071
13;-8.03;39257
14;-5.66;1195
14;-7.50;2382
14;-7.92;3568
14;-8.00;4754
14;-7.97;5941
14;-7.99;7128
14;-8.03;8315
14;-8.00;9500
14;-8.01;10687
14;-8.02;11873
14;-8.03;13061
14;-8.03;14246
14;-8.03;15432
14;-8.03;16618
14;-8.03;17804
14;-8.02;18991
14;-8.02;20177
14;-8.03;21364
14;-8.01;22549
14;-8.01;23736
14;-8.02;24922
14;-8.00;26111
14;-8.03;27298
14;-8.01;28483
14;-7.98;29670
14;-7.99;30856
14;-7.98;32042
14;-8.01;33230
14;-8.02;34416
14;-8.01;35602
14;-8.00;36789
14;-8.02;37983
14;-8.02;39170
