round; currentMeasure; elapsed
6; 3.65;1195
6; 3.71;2382
6; 3.71;3568
6; 3.71;4754
6; 3.71;5940
6; 3.71;7127
6; 3.71;8315
6; 3.71;9502
6; 3.71;10688
6; 3.71;11874
6; 3.71;13061
6; 3.71;14247
6; 3.71;15434
6; 3.71;16621
6; 3.71;17806
6; 3.71;18993
6; 3.71;20179
6; 3.71;21368
6; 3.71;22555
6; 3.70;23740
6; 3.70;24927
6; 3.70;26113
6; 3.70;27300
6; 3.69;28487
6; 3.69;29673
6; 3.78;30859
7; 4.03;1194
7; 4.08;2423
7; 4.11;3611
7; 4.14;4797
7; 4.14;5984
7; 4.14;7170
7; 4.14;8357
7; 4.14;9542
7; 4.14;10729
7; 4.14;11915
7; 4.16;13102
7; 4.16;14288
7; 4.15;15483
7; 4.16;16668
7; 4.15;17855
7; 4.13;19041
7; 4.13;20228
7; 4.14;21414
7; 4.14;22600
7; 4.13;23786
7; 4.12;24972
7; 4.12;26159
7; 4.13;27346
7; 4.18;28534
7; 4.22;29720
7; 4.21;30906
7; 4.21;32093
8; 4.11;1195
8; 4.16;2423
8; 4.14;3609
8; 4.03;4796
8; 4.04;5982
8; 4.02;7168
8; 4.04;8357
8; 4.12;9543
8; 4.01;10729
8; 3.97;11916
8; 3.85;13102
8; 3.86;14289
8; 3.98;15474
8; 4.00;16661
8; 4.10;17847
8; 4.07;19034
8; 4.09;20220
8; 4.10;21404
8; 4.04;22591
8; 3.92;23777
8; 3.82;24964
8; 3.79;26150
8; 3.88;27336
8; 3.75;28522
8; 3.81;29710
9; 3.97;1195
9; 4.00;2381
9; 4.00;3575
9; 4.00;4762
9; 3.99;5948
9; 3.97;7135
9; 3.98;8364
9; 3.98;9549
9; 3.98;10736
9; 3.97;11922
9; 3.98;13109
9; 4.37;14295
9; 4.38;15480
9; 4.32;16669
9; 4.89;17856
9; 4.53;19042
9; 5.23;20229
9; 4.96;21414
9; 4.59;22601
9; 4.28;23787
9; 4.25;24973
9; 4.26;26160
9; 4.23;27345
9; 4.24;28532
9; 4.20;29721
9; 4.22;30907
9; 4.21;32094
10; 3.75;1195
10; 3.75;2382
10; 3.73;3568
10; 3.73;4755
10; 3.76;5941
10; 3.84;7127
10; 3.85;8316
10; 3.84;9503
10; 3.84;10689
10; 3.82;11875
10; 3.83;13061
10; 3.81;14290
10; 3.83;15476
10; 3.85;16663
10; 3.84;17848
10; 3.85;19035
10; 3.86;20222
10; 3.85;21416
10; 3.86;22603
10; 3.86;23790
10; 3.85;24976
10; 3.85;26162
10; 3.84;27348
10; 3.82;28536
10; 3.84;29722
10; 4.08;30909
