round;currentMeasure;elapsed
12;3.80;1195
12;3.88;2381
12;3.90;3576
12;3.90;4761
12;3.91;5948
12;3.87;7134
12;3.86;8321
12;3.88;9508
12;3.82;10694
12;3.82;11880
12;3.88;13067
12;3.81;14253
12;3.84;15442
12;3.80;16627
12;3.75;17814
12;3.74;19001
12;3.74;20187
12;3.75;21416
12;3.75;22601
12;3.75;23788
12;3.74;24974
12;3.74;26161
12;3.74;27348
12;3.74;28537
12;3.75;29723
12;3.80;30909
13;3.93;1194
13;3.99;2381
13;4.01;3567
13;4.01;4754
13;4.02;5940
13;4.01;7126
13;4.01;8312
13;4.01;9501
13;4.02;10687
13;4.01;11874
13;4.01;13102
13;4.01;14288
13;4.01;15475
13;4.00;16661
13;4.00;17848
13;4.00;19033
13;4.00;20220
13;4.00;21406
13;4.01;22601
13;4.01;23787
13;4.01;24974
13;4.02;26159
13;4.04;27346
13;4.08;28532
13;4.13;29718
13;4.06;30905
13;4.06;32090
13;4.05;33277
14;3.89;1195
14;3.99;2380
14;3.97;3567
14;3.96;4753
14;3.96;5940
14;3.95;7126
14;3.96;8312
14;3.95;9498
14;3.96;10685
14;3.95;11871
14;3.96;13060
14;3.96;14246
14;3.96;15432
14;3.97;16618
14;3.97;17805
14;3.97;18991
14;3.98;20177
14;3.97;21363
14;3.97;22550
14;3.97;23736
14;3.97;24925
14;3.96;26112
14;3.95;27297
14;3.95;28483
14;3.96;29670
14;3.96;30899
15;3.61;1195
15;3.67;2380
15;3.67;3567
15;3.67;4754
15;3.67;5949
15;3.68;7135
15;3.67;8322
15;3.68;9507
15;3.68;10694
15;3.68;11881
15;3.69;13068
15;3.69;14255
15;3.69;15482
15;3.69;16670
15;3.69;17858
15;3.69;19045
15;3.69;20232
15;3.69;21418
15;3.69;22604
15;3.69;23791
15;3.69;24978
15;3.68;26164
15;3.68;27351
15;3.68;28537
15;3.68;29723
15;3.68;30912
16;3.57;1195
16;3.61;2380
16;3.61;3567
16;3.60;4753
16;3.61;5940
16;3.61;7127
16;3.60;8313
16;3.60;9499
16;3.61;10685
16;3.60;11874
16;3.61;13061
16;3.61;14247
16;3.61;15434
16;3.61;16620
16;3.60;17807
16;3.61;18994
16;3.60;20181
16;3.59;21366
16;3.59;22553
16;3.59;23747
16;3.59;24934
16;3.59;26121
16;3.59;27308
16;3.59;28493
16;3.58;29681
16;3.58;30867
16;3.60;32054
