round;currentMeasure;elapsed
17;3.60;1195
17;3.67;2381
17;3.66;3570
17;3.66;4757
17;3.66;5942
17;3.66;7130
17;3.66;8316
17;3.66;9545
17;3.66;10732
17;3.66;11917
17;3.66;13104
17;3.67;14291
17;3.66;15477
17;3.66;16666
17;3.67;17853
17;3.67;19081
17;3.68;20267
17;3.68;21454
17;3.67;22641
17;3.67;23828
17;3.68;25013
17;3.68;26200
17;3.67;27386
17;3.67;28574
17;3.67;29759
17;3.67;30945
17;3.67;32131
17;3.67;33318
17;3.67;34505
17;3.66;35691
17;3.66;36877
17;3.69;38064
17;3.67;39251
18;3.72;1195
18;3.78;2382
18;3.77;3568
18;3.77;4756
18;3.77;5943
18;3.77;7128
18;3.77;8315
18;3.77;9502
18;3.77;10689
18;3.77;11876
18;3.77;13063
18;3.77;14250
18;3.77;15437
18;3.77;16624
18;3.77;17811
18;3.77;18997
18;3.77;20183
18;3.77;21370
18;3.77;22557
18;3.76;23744
18;3.76;24930
18;3.76;26119
18;3.76;27304
18;3.75;28492
18;3.76;29678
18;3.75;30865
18;3.75;32052
18;3.75;33238
18;3.74;34424
18;3.75;35611
18;3.74;36797
18;3.75;37986
18;3.71;39172
