round; currentMeasure; elapsed
2; -5.61;1195
2; -7.23;2380
2; -7.53;3567
2; -7.59;4753
2; -7.61;5940
2; -7.62;7126
2; -7.62;8314
2; -7.61;9501
2; -7.62;10687
2; -7.61;11874
2; -7.57;13060
2; -7.64;14245
2; -7.62;15432
2; -7.60;16618
2; -7.63;17805
2; -7.64;18991
2; -7.66;20178
2; -7.64;21366
2; -7.65;22552
2; -7.60;23738
2; -7.63;24925
2; -7.64;26111
2; -7.62;27297
2; -7.65;28483
2; -7.64;29670
2; -7.54;30856
3; -5.67;1195
3; -7.28;2381
3; -7.60;3567
3; -7.64;4753
3; -7.65;5939
3; -7.67;7126
3; -7.62;8312
3; -7.65;9499
3; -7.62;10684
3; -7.63;11871
3; -7.65;13057
3; -7.63;14252
3; -7.62;15438
3; -7.60;16625
3; -7.64;17810
3; -7.65;18996
3; -7.57;20225
3; -7.61;21412
3; -7.65;22598
3; -7.67;23784
3; -7.69;24970
3; -7.65;26159
3; -7.66;27345
3; -7.68;28532
3; -7.66;29717
3; -7.67;30904
3; -7.64;32090
4; -5.48;1195
4; -7.18;2380
4; -7.53;3610
4; -7.62;4799
4; -7.64;5985
4; -7.64;7172
4; -7.66;8357
4; -7.71;9544
4; -7.70;10730
4; -7.67;11917
4; -7.68;13103
4; -7.69;14290
4; -7.69;15475
4; -7.68;16664
4; -7.65;17850
4; -7.69;19037
4; -7.72;20223
4; -7.69;21409
4; -7.69;22595
4; -7.74;23782
4; -7.73;24968
4; -7.69;26155
4; -7.68;27340
4; -7.69;28527
4; -7.68;29721
4; -7.82;30908
5; -5.78;1195
5; -7.36;2381
5; -7.66;3568
5; -7.71;4754
5; -7.60;5941
5; -7.61;7127
5; -7.85;8313
5; -7.77;9499
5; -7.70;10688
5; -7.73;11875
5; -7.73;13061
5; -7.73;14248
5; -7.73;15433
5; -7.70;16619
5; -7.71;17806
5; -7.70;18992
5; -7.73;20179
5; -7.71;21364
5; -7.75;22551
5; -7.67;23782
5; -7.69;24968
5; -7.71;26155
5; -7.74;27340
5; -7.76;28527
5; -7.75;29713
5; -7.71;30900
5; -7.71;32086
6; -5.60;1195
6; -7.31;2383
6; -7.64;3570
6; -7.69;4756
6; -7.70;5942
6; -7.73;7128
6; -7.73;8315
6; -7.75;9501
6; -7.74;10688
6; -7.73;11873
6; -7.73;13060
6; -7.69;14289
6; -7.71;15483
6; -7.74;16669
6; -7.74;17856
6; -7.76;19041
6; -7.76;20228
6; -7.73;21414
6; -7.72;22601
6; -7.72;23787
6; -7.73;24974
6; -7.72;26159
6; -7.71;27348
6; -7.72;28535
6; -7.72;29721
6; -7.92;30907
