round; currentMeasure; elapsed
21; 3.80;1195
21; 3.87;2384
21; 3.87;3571
21; 3.87;4759
21; 3.87;5948
21; 3.88;7136
21; 3.87;8324
21; 3.87;9520
21; 3.87;10708
21; 3.87;11896
21; 3.88;13083
21; 3.88;14272
21; 3.88;15460
21; 3.88;16648
21; 3.88;17837
21; 3.89;19025
21; 3.88;20212
21; 3.88;21402
21; 3.87;22590
21; 3.87;23779
21; 3.88;24967
21; 3.88;26155
21; 3.88;27343
21; 3.87;28530
21; 3.86;29719
21; 3.87;30907
21; 3.87;32096
21; 3.87;33284
21; 3.88;34474
21; 3.89;35663
21; 3.89;36850
21; 3.88;38038
21; 3.89;39227
21; 3.88;40415
21; 3.88;41604
21; 3.89;42791
21; 3.90;43980
21; 3.91;45167
21; 3.91;46399
22; 3.64;1195
22; 3.71;2382
22; 3.71;3570
22; 3.71;4758
22; 3.71;5996
22; 3.71;7184
22; 3.72;8373
22; 3.71;9561
22; 3.71;10748
22; 3.72;11937
22; 3.71;13125
22; 3.71;14313
22; 3.71;15502
22; 3.71;16690
22; 3.71;17880
22; 3.71;19067
22; 3.71;20256
22; 3.71;21444
22; 3.71;22633
22; 3.71;23821
22; 3.71;25009
22; 3.71;26198
22; 3.70;27385
22; 3.71;28573
22; 3.70;29762
22; 3.70;30952
22; 3.70;32141
22; 3.70;33329
22; 3.70;34517
22; 3.69;35704
22; 3.69;36892
22; 3.69;38081
22; 3.69;39269
22; 3.69;40458
22; 3.69;41646
22; 3.69;42836
22; 3.70;44024
22; 3.70;45212
22; 3.61;46401
