round; currentMeasure; elapsed
23; 3.78;1195
23; 3.85;2383
23; 3.86;3572
23; 3.86;4760
23; 3.86;5948
23; 3.85;7135
23; 3.86;8324
23; 3.86;9519
23; 3.85;10708
23; 3.85;11896
23; 3.86;13085
23; 3.86;14272
23; 3.86;15501
23; 3.86;16690
23; 3.86;17879
23; 3.86;19067
23; 3.87;20255
23; 3.86;21445
23; 3.86;22634
23; 3.87;23823
23; 3.89;25010
23; 3.89;26198
23; 3.89;27387
23; 3.89;28575
23; 3.89;29763
23; 3.89;30951
23; 3.89;32138
23; 3.89;33327
23; 3.89;34560
23; 3.90;35748
23; 3.90;36936
23; 3.90;38125
23; 3.91;39314
23; 3.91;40500
23; 3.90;41689
23; 3.91;42877
23; 3.90;44065
23; 3.90;45254
23; 3.91;46444
23; 3.91;47633
23; 3.91;48820
23; 3.89;50008
24; 3.97;1194
24; 4.04;2383
24; 4.04;3571
24; 4.03;4759
24; 4.03;5947
24; 4.03;7135
24; 4.04;8331
24; 4.03;9519
24; 4.04;10707
24; 4.04;11896
24; 4.04;13083
24; 4.04;14272
24; 4.04;15459
24; 4.04;16647
24; 4.04;17836
24; 4.04;19024
24; 4.03;20215
24; 4.03;21403
24; 4.04;22590
24; 4.04;23778
24; 3.98;24966
24; 3.96;26154
24; 3.95;27342
24; 3.95;28531
24; 3.95;29719
24; 3.95;30907
24; 3.95;32095
24; 3.96;33327
24; 3.96;34515
24; 3.96;35704
24; 3.95;36891
24; 3.95;38080
24; 3.95;39267
24; 3.96;40455
24; 3.95;41644
24; 3.95;42832
24; 3.95;44021
24; 3.93;45210
