round; currentMeasure; elapsed
28; -5.87;1195
28; -7.78;2380
28; -8.25;3567
28; -8.35;4754
28; -8.36;5941
28; -8.36;7128
28; -8.37;8314
28; -8.37;9500
28; -8.37;10688
28; -8.38;11875
28; -8.37;13061
28; -8.38;14256
28; -8.41;15442
28; -8.42;16629
28; -8.38;17815
28; -8.40;19002
28; -8.40;20189
28; -8.38;21376
28; -8.40;22562
28; -8.35;23792
28; -8.40;24979
28; -8.42;26167
28; -8.44;27355
28; -8.43;28543
28; -8.42;29728
28; -8.42;30915
28; -8.32;32145
28; -8.41;33331
28; -8.40;34519
28; -8.39;35704
28; -8.43;36891
28; -8.43;38079
28; -8.39;39266
28; -8.40;40453
28; -8.43;41640
28; -8.39;42825
28; -8.41;44013
28; -8.41;45199
28; -8.44;46387
28; -8.41;47574
28; -8.41;48759
28; -8.35;49991
28; -8.39;51178
28; -8.39;52365
