round; currentMeasure; elapsed
21; -6.35;1195
21; -7.91;2380
21; -8.21;3568
21; -8.23;4754
21; -8.29;5942
21; -8.26;7129
21; -8.27;8314
21; -8.26;9502
21; -8.26;10690
21; -8.29;11877
21; -8.29;13063
21; -8.25;14250
21; -8.28;15436
21; -8.24;16623
21; -8.29;17809
21; -8.29;18997
21; -8.27;20183
21; -8.18;21412
21; -8.24;22599
21; -8.28;23788
21; -8.27;24974
21; -8.28;26160
21; -8.26;27347
21; -8.26;28533
21; -8.29;29719
21; -8.29;30905
21; -8.29;32092
21; -8.30;33279
21; -8.27;34465
21; -8.30;35659
21; -8.26;36846
21; -8.24;38033
21; -8.29;39220
21; -8.27;40407
21; -8.27;41592
21; -8.25;42780
21; -8.28;43966
21; -8.31;45154
22; -5.95;1195
22; -7.74;2381
22; -8.15;3569
22; -8.21;4754
22; -8.26;5942
22; -8.24;7128
22; -8.24;8315
22; -8.28;9503
22; -8.25;10691
22; -8.25;11877
22; -8.26;13063
22; -8.27;14250
22; -8.25;15437
22; -8.27;16624
22; -8.27;17809
22; -8.31;18997
22; -8.25;20183
22; -8.27;21371
22; -8.26;22558
22; -8.27;23746
22; -8.30;24933
22; -8.23;26119
22; -8.26;27307
22; -8.28;28493
22; -8.26;29680
22; -8.23;30866
22; -8.26;32053
22; -8.26;33241
22; -8.26;34427
22; -8.26;35622
22; -8.28;36809
22; -8.23;37996
22; -8.25;39182
22; -8.25;40369
22; -8.26;41555
22; -8.27;42743
22; -8.24;43929
24; -6.11;1195
24; -7.82;2381
24; -8.19;3569
24; -8.26;4755
24; -8.31;5943
24; -8.32;7128
24; -8.31;8317
24; -8.27;9504
24; -8.27;10690
24; -8.30;11878
24; -8.32;13064
24; -8.33;14250
24; -8.34;15437
24; -8.26;16624
24; -8.29;17811
24; -8.28;18998
24; -8.27;20185
24; -8.21;21415
24; -8.23;22602
24; -8.26;23790
24; -8.24;24976
24; -8.25;26163
24; -8.30;27349
24; -8.29;28536
24; -8.28;29722
24; -8.27;30910
24; -8.17;32147
24; -8.25;33334
24; -8.26;34520
24; -8.26;35706
24; -8.28;36894
24; -8.26;38080
24; -8.22;39268
24; -8.26;40454
24; -8.24;41640
24; -8.27;42827
24; -8.23;44016
25; -6.31;1194
25; -7.87;2382
25; -8.19;3567
25; -8.27;4755
25; -8.28;5941
25; -8.25;7129
25; -8.24;8315
25; -8.24;9501
25; -8.25;10688
25; -8.24;11877
25; -8.26;13065
25; -8.25;14251
25; -8.26;15438
25; -8.25;16624
25; -8.25;17811
25; -8.26;18997
25; -8.23;20184
25; -8.25;21370
25; -8.25;22557
25; -8.27;23746
25; -8.27;24932
25; -8.28;26119
25; -8.25;27305
25; -8.26;28492
25; -8.24;29677
25; -8.27;30865
25; -8.25;32051
25; -8.25;33238
25; -8.22;34425
25; -8.22;35620
25; -8.26;36806
25; -8.24;37993
25; -8.25;39179
25; -8.28;40367
25; -8.28;41553
25; -8.24;42741
25; -8.26;43926
25; -8.25;45113
25; -8.24;46300
25; -8.24;47487
25; -8.25;48676
25; -8.25;49861
25; -8.17;51091
26; -5.99;1195
26; -7.77;2381
26; -8.23;3568
26; -8.34;4754
26; -8.36;5943
26; -8.33;7130
26; -8.34;8317
26; -8.33;9503
26; -8.37;10689
26; -8.35;11875
26; -8.38;13063
26; -8.35;14249
26; -8.34;15437
26; -8.33;16623
26; -8.34;17811
26; -8.36;18999
26; -8.36;20185
26; -8.35;21373
26; -8.34;22559
26; -8.36;23745
26; -8.36;24932
26; -8.35;26119
26; -8.35;27307
26; -8.34;28493
26; -8.35;29688
26; -8.36;30874
26; -8.34;32061
26; -8.36;33247
26; -8.33;34435
26; -8.34;35621
26; -8.37;36808
26; -8.35;37994
26; -8.38;39181
26; -8.43;40368
26; -8.42;41555
26; -8.39;42744
26; -8.35;43929
26; -8.38;45116
26; -8.40;46303
26; -8.38;47490
