round; currentMeasure; elapsed
25; 4.14;1194
25; 4.24;2383
25; 4.27;3571
25; 4.27;4760
25; 4.19;5947
25; 4.05;7135
25; 4.07;8323
25; 4.05;9511
25; 4.05;10748
25; 4.07;11937
25; 4.06;13125
25; 4.06;14313
25; 4.08;15501
25; 4.10;16689
25; 4.09;17877
25; 4.09;19065
25; 4.09;20254
25; 4.08;21442
25; 4.12;22632
25; 4.12;23819
25; 4.10;25007
25; 4.10;26196
25; 4.10;27383
25; 4.09;28572
25; 4.08;29760
25; 4.14;30947
25; 4.06;32135
25; 4.01;33324
25; 4.04;34513
25; 4.08;35703
25; 4.09;36890
25; 4.06;38079
25; 4.10;39266
25; 4.05;40454
25; 4.04;41642
25; 4.03;42831
25; 4.05;44019
25; 4.05;45207
26; 3.51;1195
26; 3.57;2383
26; 3.57;3571
26; 3.57;4759
26; 3.57;5989
26; 3.57;7177
26; 3.57;8366
26; 3.57;9553
26; 3.57;10742
26; 3.56;11930
26; 3.56;13126
26; 3.56;14314
26; 3.56;15503
26; 3.57;16692
26; 3.57;17880
26; 3.56;19067
26; 3.55;20256
26; 3.56;21445
26; 3.56;22633
26; 3.57;23821
26; 3.56;25011
26; 3.56;26200
26; 3.56;27387
26; 3.56;28576
26; 3.56;29764
26; 3.56;30953
26; 3.55;32141
26; 3.55;33329
26; 3.56;34518
26; 3.55;35706
26; 3.55;36893
26; 3.55;38126
26; 3.55;39314
26; 3.55;40502
26; 3.55;41691
26; 3.55;42879
28; 3.50;1195
28; 3.56;2384
28; 3.56;3572
28; 3.56;4761
28; 3.56;5949
28; 3.56;7137
28; 3.56;8325
28; 3.55;9513
28; 3.56;10751
28; 3.56;11940
28; 3.56;13128
28; 3.56;14317
28; 3.56;15505
28; 3.56;16694
28; 3.56;17881
28; 3.56;19070
28; 3.56;20259
28; 3.56;21447
28; 3.56;22638
28; 3.55;23826
28; 3.55;25015
28; 3.55;26203
28; 3.55;27391
28; 3.55;28579
28; 3.55;29768
28; 3.55;30956
28; 3.55;32144
28; 3.55;33333
28; 3.55;34521
28; 3.55;35711
28; 3.54;36899
28; 3.55;38088
28; 3.55;39276
28; 3.55;40506
28; 3.55;41695
28; 3.55;42882
28; 3.55;44070
29; 3.74;1195
29; 3.81;2382
29; 3.81;3572
29; 3.81;4761
29; 3.81;5950
29; 3.82;7138
29; 3.82;8326
29; 3.81;9514
29; 3.82;10702
29; 3.82;11890
29; 3.82;13079
29; 3.84;14268
29; 3.86;15456
29; 3.88;16652
29; 3.87;17841
29; 3.88;19030
29; 3.92;20217
29; 4.01;21406
29; 4.10;22594
29; 4.11;23783
29; 4.07;24971
29; 4.05;26160
29; 3.92;27349
29; 3.84;28538
29; 3.84;29727
29; 3.85;30915
29; 3.91;32104
29; 3.96;33292
29; 4.86;34480
29; 5.23;35669
29; 5.15;36856
29; 5.14;38045
29; 4.50;39232
29; 4.15;40421
29; 4.14;41653
29; 4.15;42842
29; 4.14;44031
29; 4.08;45218
29; 4.03;46406
29; 4.03;47595
29; 4.03;48783
29; 4.04;49971
29; 4.06;51160
30; 3.58;1195
30; 3.56;2384
30; 3.64;3572
30; 3.61;4760
30; 3.59;5949
30; 3.59;7136
30; 3.62;8325
30; 3.63;9513
30; 3.73;10743
30; 3.68;11939
30; 3.60;13127
30; 3.61;14316
30; 3.58;15505
30; 3.67;16692
30; 3.75;17881
30; 3.74;19070
30; 3.68;20259
30; 3.57;21447
30; 3.60;22635
30; 3.64;23826
30; 3.60;25014
30; 3.62;26203
30; 3.63;27391
30; 3.61;28579
30; 3.58;29768
30; 3.58;30957
30; 3.57;32146
30; 3.62;33333
30; 3.67;34521
30; 3.63;35710
30; 3.62;36900
30; 3.63;38088
30; 3.63;39277
30; 3.59;40466
30; 3.66;41654
30; 3.62;42842
30; 3.61;44030
30; 3.58;45219
30; 3.55;46407
30; 3.55;47595
