Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode
Time: 219.33s | Raw0: 0.34 m | Raw1: 0.28 m | Filtered0: 0.330713 m | Filtered1: 0.283351 m | Middle: 0.321132 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 220.53s | Raw0: 0.33 m | Raw1: 0.28 m | Filtered0: 0.330597 m | Filtered1: 0.283400 m | Middle: 0.321082 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 220.65s | Raw0: 0.33 m | Raw1: 0.28 m | Filtered0: 0.330489 m | Filtered1: 0.283447 m | Middle: 0.321035 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 221.74s | Raw0: 0.33 m | Raw1: 0.28 m | Filtered0: 0.330387 m | Filtered1: 0.283490 m | Middle: 0.320991 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 221.86s | Raw0: 0.33 m | Raw1: 0.28 m | Filtered0: 0.330291 m | Filtered1: 0.283531 m | Middle: 0.320950 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 223.05s | Raw0: 0.34 m | Raw1: 0.28 m | Filtered0: 0.330561 m | Filtered1: 0.283570 m | Middle: 0.321125 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 223.18s | Raw0: 0.34 m | Raw1: 0.28 m | Filtered0: 0.330822 m | Filtered1: 0.283607 m | Middle: 0.321292 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 224.27s | Raw0: 0.34 m | Raw1: 0.28 m | Filtered0: 0.331074 m | Filtered1: 0.283642 m | Middle: 0.321454 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 224.39s | Raw0: 0.34 m | Raw1: 0.28 m | Filtered0: 0.331317 m | Filtered1: 0.283675 m | Middle: 0.321608 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 225.59s | Raw0: 0.34 m | Raw1: 0.28 m | Filtered0: 0.331550 m | Filtered1: 0.283707 m | Middle: 0.321757 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 225.70s | Raw0: 0.34 m | Raw1: 0.28 m | Filtered0: 0.331775 m | Filtered1: 0.283737 m | Middle: 0.321899 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 226.80s | Raw0: 0.34 m | Raw1: 0.28 m | Filtered0: 0.331991 m | Filtered1: 0.283766 m | Middle: 0.322035 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 226.92s | Raw0: 0.34 m | Raw1: 0.28 m | Filtered0: 0.332198 m | Filtered1: 0.283793 m | Middle: 0.322165 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 228.22s | Raw0: 0.34 m | Raw1: 0.28 m | Filtered0: 0.332396 m | Filtered1: 0.283819 m | Middle: 0.322290 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 228.34s | Raw0: 0.34 m | Raw1: 0.27 m | Filtered0: 0.332587 m | Filtered1: 0.283587 m | Middle: 0.322308 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 229.33s | Raw0: 0.34 m | Raw1: 0.27 m | Filtered0: 0.332769 m | Filtered1: 0.283352 m | Middle: 0.322320 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 229.45s | Raw0: 0.34 m | Raw1: 0.28 m | Filtered0: 0.332944 m | Filtered1: 0.283392 m | Middle: 0.322435 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 230.75s | Raw0: 0.34 m | Raw1: 0.28 m | Filtered0: 0.333111 m | Filtered1: 0.283430 m | Middle: 0.322544 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 230.87s | Raw0: 0.34 m | Raw1: 0.28 m | Filtered0: 0.333271 m | Filtered1: 0.283466 m | Middle: 0.322649 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 231.86s | Raw0: 0.34 m | Raw1: 0.28 m | Filtered0: 0.333425 m | Filtered1: 0.283501 m | Middle: 0.322750 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 231.98s | Raw0: 0.34 m | Raw1: 0.29 m | Filtered0: 0.333572 m | Filtered1: 0.283792 m | Middle: 0.322949 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 233.28s | Raw0: 0.34 m | Raw1: 0.29 m | Filtered0: 0.333713 m | Filtered1: 0.284092 m | Middle: 0.323148 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 233.40s | Raw0: 0.34 m | Raw1: 0.30 m | Filtered0: 0.333847 m | Filtered1: 0.284684 m | Middle: 0.323459 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 234.39s | Raw0: 0.32 m | Raw1: 0.30 m | Filtered0: 0.333322 m | Filtered1: 0.285318 m | Middle: 0.323406 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 234.51s | Raw0: 0.32 m | Raw1: 0.31 m | Filtered0: 0.332784 m | Filtered1: 0.286327 m | Middle: 0.323476 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 235.80s | Raw0: 0.32 m | Raw1: 0.31 m | Filtered0: 0.332241 m | Filtered1: 0.287420 m | Middle: 0.323555 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 235.93s | Raw0: 0.32 m | Raw1: 0.32 m | Filtered0: 0.331697 m | Filtered1: 0.288991 m | Middle: 0.323782 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 236.92s | Raw0: 0.31 m | Raw1: 0.32 m | Filtered0: 0.330768 m | Filtered1: 0.290669 m | Middle: 0.323763 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 237.04s | Raw0: 0.31 m | Raw1: 0.33 m | Filtered0: 0.329811 m | Filtered1: 0.292918 m | Middle: 0.323848 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 238.33s | Raw0: 0.31 m | Raw1: 0.33 m | Filtered0: 0.328841 m | Filtered1: 0.295264 m | Middle: 0.323873 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 238.45s | Raw0: 0.31 m | Raw1: 0.34 m | Filtered0: 0.327873 m | Filtered1: 0.298240 m | Middle: 0.323973 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 239.45s | Raw0: 0.31 m | Raw1: 0.34 m | Filtered0: 0.326916 m | Filtered1: 0.301260 m | Middle: 0.323969 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 239.57s | Raw0: 0.31 m | Raw1: 0.34 m | Filtered0: 0.325979 m | Filtered1: 0.304244 m | Middle: 0.323847 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 240.86s | Raw0: 0.32 m | Raw1: 0.34 m | Filtered0: 0.325570 m | Filtered1: 0.307131 m | Middle: 0.324023 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 240.98s | Raw0: 0.32 m | Raw1: 0.34 m | Filtered0: 0.325189 m | Filtered1: 0.309880 m | Middle: 0.324114 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 241.98s | Raw0: 0.32 m | Raw1: 0.34 m | Filtered0: 0.324833 m | Filtered1: 0.312465 m | Middle: 0.324126 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 242.10s | Raw0: 0.32 m | Raw1: 0.34 m | Filtered0: 0.324502 m | Filtered1: 0.314873 m | Middle: 0.324070 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 243.39s | Raw0: 0.32 m | Raw1: 0.34 m | Filtered0: 0.324191 m | Filtered1: 0.317102 m | Middle: 0.323956 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 243.51s | Raw0: 0.32 m | Raw1: 0.33 m | Filtered0: 0.323901 m | Filtered1: 0.318413 m | Middle: 0.323759 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 244.51s | Raw0: 0.33 m | Raw1: 0.33 m | Filtered0: 0.324074 m | Filtered1: 0.319589 m | Middle: 0.323979 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 244.63s | Raw0: 0.33 m | Raw1: 0.33 m | Filtered0: 0.324235 m | Filtered1: 0.320648 m | Middle: 0.324174 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 245.92s | Raw0: 0.33 m | Raw1: 0.33 m | Filtered0: 0.324385 m | Filtered1: 0.321604 m | Middle: 0.324348 m | Expected: 0.313790 m | Method: direct | Mode: TEST
