Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode
Time: 25.12s | Raw0: 0.79 m | Raw1: 0.73 m | Filtered0: 0.790000 m | Filtered1: 0.730000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 25.24s | Raw0: 0.79 m | Raw1: 0.73 m | Filtered0: 0.790000 m | Filtered1: 0.730000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 26.23s | Raw0: 0.79 m | Raw1: 0.73 m | Filtered0: 0.790000 m | Filtered1: 0.730000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 26.35s | Raw0: 0.79 m | Raw1: 0.72 m | Filtered0: 0.790000 m | Filtered1: 0.720000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 27.65s | Raw0: 0.77 m | Raw1: 0.72 m | Filtered0: 0.770000 m | Filtered1: 0.720000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 27.76s | Raw0: 0.77 m | Raw1: 0.72 m | Filtered0: 0.770000 m | Filtered1: 0.720000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 28.76s | Raw0: 0.78 m | Raw1: 0.72 m | Filtered0: 0.780000 m | Filtered1: 0.720000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 28.87s | Raw0: 0.78 m | Raw1: 0.73 m | Filtered0: 0.780000 m | Filtered1: 0.730000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 30.17s | Raw0: 0.77 m | Raw1: 0.73 m | Filtered0: 0.770000 m | Filtered1: 0.730000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 30.29s | Raw0: 0.77 m | Raw1: 0.73 m | Filtered0: 0.770000 m | Filtered1: 0.730000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 31.28s | Raw0: 0.77 m | Raw1: 0.73 m | Filtered0: 0.770000 m | Filtered1: 0.730000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 31.40s | Raw0: 0.77 m | Raw1: 0.74 m | Filtered0: 0.770000 m | Filtered1: 0.740000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 32.70s | Raw0: 0.78 m | Raw1: 0.74 m | Filtered0: 0.780000 m | Filtered1: 0.740000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 32.82s | Raw0: 0.78 m | Raw1: 0.74 m | Filtered0: 0.780000 m | Filtered1: 0.740000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 33.81s | Raw0: 0.78 m | Raw1: 0.74 m | Filtered0: 0.780000 m | Filtered1: 0.740000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
Time: 33.93s | Raw0: 0.78 m | Raw1: 0.74 m | Filtered0: 0.780000 m | Filtered1: 0.740000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: CALIBRATION
