Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode
Time: 7.33s | Raw0: 0.54 m | Raw1: 0.29 m | Filtered0: 0.540000 m | Filtered1: 0.290000 m | Middle: nan m | Expected: 0.313790 m | Method: none | Mode: WARMUP
Time: 7.44s | Raw0: 0.54 m | Raw1: 0.35 m | Filtered0: 0.540000 m | Filtered1: 0.350000 m | Middle: nan m | Expected: 0.313790 m | Method: none | Mode: WARMUP
Time: 8.43s | Raw0: 0.53 m | Raw1: 0.35 m | Filtered0: 0.530000 m | Filtered1: 0.350000 m | Middle: nan m | Expected: 0.313790 m | Method: none | Mode: WARMUP
Time: 8.54s | Raw0: 0.53 m | Raw1: 0.35 m | Filtered0: 0.530000 m | Filtered1: 0.350000 m | Middle: nan m | Expected: 0.313790 m | Method: none | Mode: WARMUP
Time: 9.83s | Raw0: 0.53 m | Raw1: 0.35 m | Filtered0: 0.530000 m | Filtered1: 0.350000 m | Middle: nan m | Expected: 0.313790 m | Method: none | Mode: WARMUP
Time: 9.94s | Raw0: 0.53 m | Raw1: 0.34 m | Filtered0: 0.530000 m | Filtered1: 0.340000 m | Middle: nan m | Expected: 0.313790 m | Method: none | Mode: WARMUP
Time: 11.03s | Raw0: 0.52 m | Raw1: 0.34 m | Filtered0: 0.520000 m | Filtered1: 0.340000 m | Middle: nan m | Expected: 0.313790 m | Method: none | Mode: WARMUP
Time: 11.14s | Raw0: 0.52 m | Raw1: 0.34 m | Filtered0: 0.520000 m | Filtered1: 0.340000 m | Middle: nan m | Expected: 0.313790 m | Method: none | Mode: WARMUP
Time: 12.43s | Raw0: 0.51 m | Raw1: 0.34 m | Filtered0: 0.510000 m | Filtered1: 0.340000 m | Middle: nan m | Expected: 0.313790 m | Method: none | Mode: WARMUP
Time: 12.55s | Raw0: 0.51 m | Raw1: 0.33 m | Filtered0: 0.510000 m | Filtered1: 0.330000 m | Middle: nan m | Expected: 0.313790 m | Method: none | Mode: WARMUP
Time: 13.53s | Raw0: 0.52 m | Raw1: 0.33 m | Filtered0: 0.520000 m | Filtered1: 0.330000 m | Middle: nan m | Expected: 0.313790 m | Method: none | Mode: WARMUP
Time: 13.64s | Raw0: 0.52 m | Raw1: 0.34 m | Filtered0: 0.520000 m | Filtered1: 0.340000 m | Middle: nan m | Expected: 0.313790 m | Method: none | Mode: WARMUP
Time: 14.94s | Raw0: 0.52 m | Raw1: 0.34 m | Filtered0: 0.520000 m | Filtered1: 0.340000 m | Middle: nan m | Expected: 0.313790 m | Method: none | Mode: WARMUP
Time: 15.05s | Raw0: 0.52 m | Raw1: 0.34 m | Filtered0: 0.520000 m | Filtered1: 0.340000 m | Middle: nan m | Expected: 0.313790 m | Method: none | Mode: WARMUP
Time: 16.03s | Raw0: 0.52 m | Raw1: 0.34 m | Filtered0: 0.520000 m | Filtered1: 0.340000 m | Middle: nan m | Expected: 0.313790 m | Method: none | Mode: WARMUP
