Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode
Time: 10.99s | Raw0: 0.67 m | Raw1: 0.59 m | Filtered0: 0.670000 m | Filtered1: 0.590000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 11.10s | Raw0: 0.67 m | Raw1: 0.59 m | Filtered0: 0.670000 m | Filtered1: 0.590000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 12.40s | Raw0: 0.67 m | Raw1: 0.59 m | Filtered0: 0.670000 m | Filtered1: 0.590000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 12.51s | Raw0: 0.67 m | Raw1: 0.58 m | Filtered0: 0.670000 m | Filtered1: 0.580000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 13.50s | Raw0: 0.67 m | Raw1: 0.58 m | Filtered0: 0.670000 m | Filtered1: 0.580000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 13.61s | Raw0: 0.67 m | Raw1: 0.57 m | Filtered0: 0.670000 m | Filtered1: 0.570000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 14.90s | Raw0: 0.67 m | Raw1: 0.57 m | Filtered0: 0.670000 m | Filtered1: 0.570000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 15.01s | Raw0: 0.67 m | Raw1: 0.57 m | Filtered0: 0.670000 m | Filtered1: 0.570000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 16.10s | Raw0: 0.67 m | Raw1: 0.57 m | Filtered0: 0.670000 m | Filtered1: 0.570000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 16.21s | Raw0: 0.67 m | Raw1: 0.59 m | Filtered0: 0.670000 m | Filtered1: 0.590000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 17.50s | Raw0: 0.67 m | Raw1: 0.59 m | Filtered0: 0.670000 m | Filtered1: 0.590000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 17.61s | Raw0: 0.67 m | Raw1: 0.58 m | Filtered0: 0.670000 m | Filtered1: 0.580000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 18.60s | Raw0: 0.68 m | Raw1: 0.58 m | Filtered0: 0.680000 m | Filtered1: 0.580000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 18.71s | Raw0: 0.68 m | Raw1: 0.59 m | Filtered0: 0.680000 m | Filtered1: 0.590000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 20.00s | Raw0: 0.67 m | Raw1: 0.59 m | Filtered0: 0.670000 m | Filtered1: 0.590000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 20.12s | Raw0: 0.67 m | Raw1: 0.59 m | Filtered0: 0.670000 m | Filtered1: 0.590000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 21.10s | Raw0: 0.67 m | Raw1: 0.59 m | Filtered0: 0.670000 m | Filtered1: 0.590000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 21.22s | Raw0: 0.67 m | Raw1: 0.60 m | Filtered0: 0.670000 m | Filtered1: 0.600000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 22.51s | Raw0: 0.68 m | Raw1: 0.60 m | Filtered0: 0.680000 m | Filtered1: 0.600000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: WARMUP
Time: 22.62s | Raw0: 0.68 m | Raw1: 0.59 m | Filtered0: 0.680000 m | Filtered1: 0.590000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: CALIBRATION
Time: 23.72s | Raw0: 0.68 m | Raw1: 0.59 m | Filtered0: 0.680000 m | Filtered1: 0.590000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: CALIBRATION
Time: 23.83s | Raw0: 0.68 m | Raw1: 0.60 m | Filtered0: 0.680000 m | Filtered1: 0.600000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: CALIBRATION
Time: 25.03s | Raw0: 0.68 m | Raw1: 0.60 m | Filtered0: 0.680000 m | Filtered1: 0.600000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: CALIBRATION
Time: 25.15s | Raw0: 0.68 m | Raw1: 0.60 m | Filtered0: 0.680000 m | Filtered1: 0.600000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: CALIBRATION
Time: 26.24s | Raw0: 0.69 m | Raw1: 0.60 m | Filtered0: 0.690000 m | Filtered1: 0.600000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: CALIBRATION
Time: 26.36s | Raw0: 0.69 m | Raw1: 0.60 m | Filtered0: 0.690000 m | Filtered1: 0.600000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: CALIBRATION
Time: 27.65s | Raw0: 0.68 m | Raw1: 0.60 m | Filtered0: 0.680000 m | Filtered1: 0.600000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: CALIBRATION
Time: 27.77s | Raw0: 0.68 m | Raw1: 0.60 m | Filtered0: 0.680000 m | Filtered1: 0.600000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: CALIBRATION
Time: 28.77s | Raw0: 0.67 m | Raw1: 0.60 m | Filtered0: 0.670000 m | Filtered1: 0.600000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: CALIBRATION
Time: 28.88s | Raw0: 0.67 m | Raw1: 0.60 m | Filtered0: 0.670000 m | Filtered1: 0.600000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: CALIBRATION
Time: 30.18s | Raw0: 0.67 m | Raw1: 0.60 m | Filtered0: 0.670000 m | Filtered1: 0.600000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: CALIBRATION
Time: 30.30s | Raw0: 0.67 m | Raw1: 0.60 m | Filtered0: 0.670000 m | Filtered1: 0.600000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: CALIBRATION
Time: 31.29s | Raw0: 0.67 m | Raw1: 0.60 m | Filtered0: 0.670000 m | Filtered1: 0.600000 m | Middle: nan m | Expected: 0.410444 m | Method: none | Mode: CALIBRATION
