Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode 
Time: 30.15s | Raw0: 1.15 m | Raw1: 0.97 m | Filtered0: 1.150000 m | Filtered1: 0.970000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 30.26s | Raw0: 1.15 m | Raw1: 0.96 m | Filtered0: 1.150000 m | Filtered1: 0.960000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 31.26s | Raw0: 1.16 m | Raw1: 0.96 m | Filtered0: 1.160000 m | Filtered1: 0.960000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 31.38s | Raw0: 1.16 m | Raw1: 0.99 m | Filtered0: 1.160000 m | Filtered1: 0.990000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 32.67s | Raw0: 1.17 m | Raw1: 0.99 m | Filtered0: 1.170000 m | Filtered1: 0.990000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 32.79s | Raw0: 1.17 m | Raw1: 0.99 m | Filtered0: 1.170000 m | Filtered1: 0.990000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 33.88s | Raw0: 1.17 m | Raw1: 0.99 m | Filtered0: 1.170000 m | Filtered1: 0.990000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 34.00s | Raw0: 1.17 m | Raw1: 0.99 m | Filtered0: 1.170000 m | Filtered1: 0.990000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 35.20s | Raw0: 1.19 m | Raw1: 0.99 m | Filtered0: 1.190000 m | Filtered1: 0.990000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 35.32s | Raw0: 1.19 m | Raw1: 0.98 m | Filtered0: 1.190000 m | Filtered1: 0.980000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 36.41s | Raw0: 1.18 m | Raw1: 0.98 m | Filtered0: 1.180000 m | Filtered1: 0.980000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 36.53s | Raw0: 1.18 m | Raw1: 0.99 m | Filtered0: 1.180000 m | Filtered1: 0.990000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 37.72s | Raw0: 1.16 m | Raw1: 0.99 m | Filtered0: 1.160000 m | Filtered1: 0.990000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 37.84s | Raw0: 1.16 m | Raw1: 0.96 m | Filtered0: 1.160000 m | Filtered1: 0.960000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 38.94s | Raw0: 1.18 m | Raw1: 0.96 m | Filtered0: 1.180000 m | Filtered1: 0.960000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 39.06s | Raw0: 1.18 m | Raw1: 0.97 m | Filtered0: 1.180000 m | Filtered1: 0.970000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 40.35s | Raw0: 1.17 m | Raw1: 0.97 m | Filtered0: 1.170000 m | Filtered1: 0.970000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: CALIBRATION
Time: 40.47s | Raw0: 1.17 m | Raw1: 0.97 m | Filtered0: 1.170000 m | Filtered1: 0.970000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: TEST
Time: 41.46s | Raw0: 0.97 m | Raw1: 1.00 m | Filtered0: 0.987223 m | Filtered1: 1.000723 m | Middle: 0.984526 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 42.83s | Raw0: 0.98 m | Raw1: 1.00 m | Filtered0: 0.984879 m | Filtered1: 0.999555 m | Middle: 0.981694 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 42.95s | Raw0: 0.98 m | Raw1: 0.99 m | Filtered0: 0.983709 m | Filtered1: 0.996467 m | Middle: 0.981310 m | Expected: 1.004223 m | Method: direct | Mode: TEST
