Formation,Boats,Distance,Speed (m/s),Total Power (W),Power per Boat (W),Wh per Meter,Total Energy (kWh),Real Energy (kWh)
double,2,13.50,0.43,2.89,1.45,1.858e-03,2.509e-05,3.008e-04
singlerun,1,13.50,0.41,1.37,1.37,9.185e-04,1.240e-05,4.815e-04
